geometry,id,ID,height_mean,height_min,height_max,Shape_Leng,Shape_Area,BNG_Area
"POLYGON ((-1.17759150030598 52.9095256368646,-1.17776270392783 52.9095933427885,-1.17770519557992 52.9096464316435,-1.17753399105974 52.9095787258027,-1.17759150030598 52.9095256368646))",3932063,0D4F70AF521927B3E050A00A568A259B,4.2,0.0,8.0,68.9917535782,266.770061388,97.1124778555
"POLYGON ((-1.17684936521834 52.9096512960193,-1.17677659000216 52.9097645075899,-1.17667814722336 52.9097413521547,-1.17675092243958 52.9096281410653,-1.17684936521834 52.9096512960193))",3932064,0D4F70AF521A27B3E050A00A568A259B,4.47826086957,0.0,8.0,68.3506961809,263.631871105,95.9696095734
"POLYGON ((-1.17569112330519 52.9081182240096,-1.17581346396554 52.90801794183,-1.17589751483513 52.9080549312078,-1.17577368746297 52.90815520355,-1.17569112330519 52.9081182240096))",3932065,0D4F70AF521B27B3E050A00A568A259B,3.0,0.0,7.0,69.088841767,265.185377389,96.54228907
"POLYGON ((-1.17610731367461 52.9086353008389,-1.17594729228143 52.9085663224397,-1.17600699790854 52.9085150471719,-1.17616849792868 52.9085844856099,-1.17610731367461 52.9086353008389))",3932066,0D4F70AF521C27B3E050A00A568A259B,4.47826086957,0.0,8.0,67.1318171252,254.571909825,92.6763071477
"POLYGON ((-1.17487180047677 52.9081988376007,-1.17494479039033 52.9080743921315,-1.1750351213821 52.90809389693,-1.17496138676514 52.9082183374672,-1.17487180047677 52.9081988376007))",3932067,0D4F70AF521D27B3E050A00A568A259B,4.34782608696,0.0,8.0,70.03975415,259.420420388,94.4432775337
"POLYGON ((-1.17422267605545 52.9082819767614,-1.17414229210877 52.9084041234636,-1.17405422576985 52.9083828358526,-1.17413460163168 52.9082611387576,-1.17422267605545 52.9082819767614))",3932068,0D4F70AF521E27B3E050A00A568A259B,4.17391304348,0.0,7.0,69.5297153481,255.42044404,92.986284631
"POLYGON ((-1.17372270880245 52.9079885957272,-1.1736423500086 52.9081093937087,-1.17355058440736 52.9080871811518,-1.17363095308265 52.9079659339799,-1.17372270880245 52.9079885957272))",3932069,0D4F70AF521F27B3E050A00A568A259B,4.04166666667,0.0,7.0,70.1711300746,265.230279423,96.5588898436
"POLYGON ((-1.17596229145134 52.9093826607362,-1.17600989587328 52.9092638816343,-1.17611147377238 52.9092785193129,-1.17606312644371 52.9093972934989,-1.17596229145134 52.9093826607362))",3932070,0D4F70AF522027B3E050A00A568A259B,4.92,0.0,7.0,68.3023874701,261.433833758,95.171072921
"POLYGON ((-1.17568010007792 52.9089343822183,-1.17560267518182 52.9090574491524,-1.17551236035973 52.9090370460114,-1.17558978525587 52.9089139795611,-1.17568010007792 52.9089343822183))",3932071,0D4F70AF522127B3E050A00A568A259B,4.82608695652,0.0,8.0,70.0645779169,260.842837182,94.9574414946
"POLYGON ((-1.17558110214023 52.9090973024547,-1.17543603500142 52.909337211376,-1.17533593033939 52.9093154816101,-1.17548189399683 52.9090753992061,-1.17558110214023 52.9090973024547))",3932072,0D4F70AF522227B3E050A00A568A259B,4.62745098039,0.0,8.0,117.940781431,556.678637378,202.651698378
