helper,shadowed_length,shadowgeom,osm_id,full_length,src_id,dst_id,edgegeom,tags,parsing_direction
false,0.0,,31419058,144.2441789719693,14,962,"LINESTRING (-1.1778728 52.8897339,-1.177026 52.8909246)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""compacted"", ""lanes:forward"" => missing, ""reverseway"" => false, ""created_by"" => ""Potlatch 0.10f"", ""highway"" => ""track"", ""width"" => missing, ""source"" => ""Yahoo"", ""maxspeed"" => 50)",1
false,0.0,,5211217,359.48494881462545,15,696,"LINESTRING (-1.16711494066811 52.9199259072745,-1.16738964345238 52.919897022434,-1.16747983656167 52.919873649811,-1.16765102183174 52.919829177145,-1.16973164554819 52.918956921892,-1.1705173312991 52.9186515554047,-1.17164263942333 52.9182403428574)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => true, ""lanes"" => 1, ""operator:wikidata"" => ""Q5760006"", ""name"" => ""Remembrance Way"", ""operator:wikipedia"" => ""en:National Highways"", ""lanes:forward"" => missing, ""national_highways:area"" => ""7"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""trunk_link"", ""operator"" => ""National Highways"", ""width"" => missing, ""maxspeed"" => 50)",1
false,0.0,,257557986,45.88400370701592,15,1092,"LINESTRING (-1.16714125235748 52.9199128568481,-1.16732626708969 52.9199646009592,-1.16752003632973 52.9201261637893,-1.16757755493888 52.9202086903656)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => true, ""lanes"" => 2, ""lanes:forward"" => missing, ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""trunk"", ""width"" => missing, ""junction"" => ""roundabout"", ""maxspeed"" => 100)",1
false,21.437682649396887,"MULTILINESTRING ((-1.18030084331524 52.9059739601992,-1.18027787542689 52.905970720329,-1.18021330079734 52.9059800998794),(-1.18052818094417 52.9060060283762,-1.18042328726385 52.9059912321655),(-1.17985028397742 52.9059429290019,-1.17973119657816 52.9059302762602))",945535064,54.701355775471114,16,697,"LINESTRING (-1.18052818094417 52.9060060283762,-1.18027787542689 52.905970720329,-1.18020774211367 52.9059809072837,-1.17973119657816 52.9059302762602)","Dict{String, Any}(""lanes:forward"" => missing, ""reverseway"" => false, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""highway"" => ""service"", ""lanes"" => missing, ""maxspeed"" => 50, ""width"" => missing)",1
false,10.438402947053138,"LINESTRING (-1.1778747 52.9020824,-1.1779284 52.9019944)",702050661,10.438402935287671,17,126,"LINESTRING (-1.1778747 52.9020824,-1.1779284 52.9019944)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",-1
false,14.359338100257643,"LINESTRING (-1.17790936757036 52.9020230936765,-1.17811056732997 52.9020660936182)",354918917,14.359338100723253,17,490,"LINESTRING (-1.17790936757036 52.9020230936765,-1.17811056732997 52.9020660936182)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => 2, ""oneway"" => false, ""lanes"" => 3, ""surface"" => ""asphalt"", ""lanes:forward"" => 1, ""name"" => ""Green Lane"", ""reverseway"" => false, ""highway"" => ""tertiary"", ""width"" => missing, ""maxspeed"" => 50)",-1
false,1.2740641331221105,"LINESTRING (-1.1778747 52.9020824,-1.17786755941174 52.9020930033667)",702050661,11.847439443012421,17,644,"LINESTRING (-1.1778747 52.9020824,-1.1778083 52.902181)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",1
false,0.0,,354918917,11.177492803761151,17,1179,"LINESTRING (-1.1778573516725 52.9021120500559,-1.17770075157899 52.9020785500332)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => 2, ""oneway"" => false, ""lanes"" => 3, ""surface"" => ""asphalt"", ""lanes:forward"" => 1, ""name"" => ""Green Lane"", ""reverseway"" => false, ""highway"" => ""tertiary"", ""width"" => missing, ""maxspeed"" => 50)",1
false,13.933976451703892,"LINESTRING (-1.17561324440555 52.899431591926,-1.17562002056601 52.8994359128264,-1.17578761531885 52.8994987729255)",29388076,64.28063196752957,18,415,"LINESTRING (-1.17517687926598 52.8990680045465,-1.17522507320876 52.8991293511325,-1.17532460355335 52.8992333437417,-1.1754513736835 52.8993283727369,-1.17562002056601 52.8994359128264,-1.17578761531885 52.8994987729255)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Wrenthorpe Vale"", ""source:name"" => ""survey"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source:maxspeed"" => ""survey"", ""maxspeed"" => 32)",1
false,5.167514241045141,"LINESTRING (-1.17532643645852 52.8989902234932,-1.17539856327201 52.8989742878408)",29388054,57.69881630074711,18,527,"LINESTRING (-1.17510634681852 52.8990534587685,-1.17527582457709 52.899001405617,-1.17541483369284 52.8989706930566,-1.17564893135381 52.8989567014958,-1.17593289307375 52.8989619637983)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Dungannon Road"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source:maxspeed"" => ""survey"", ""maxspeed"" => 32)",-1
