pointgeom,helper,osm_id,lat,vertex_id,lon
POINT (-1.1857001 52.9093699),false,2676167897,52.9093699,405,-1.1857001
POINT (-1.1872505 52.8969674),false,6501793801,52.8969674,406,-1.1872505
POINT (-1.1775804 52.9066979),false,447797961,52.9066979,407,-1.1775804
POINT (-1.1806958 52.8969501),false,6125286589,52.8969501,408,-1.1806958
POINT (-1.1806659 52.8970376),false,6501793767,52.8970376,409,-1.1806659
POINT (-1.1838666 52.8974706),false,323238308,52.8974706,410,-1.1838666
POINT (-1.168617 52.9004865),false,8328260715,52.9004865,411,-1.168617
POINT (-1.1975438 52.8970616),false,1849955900,52.8970616,412,-1.1975438
POINT (-1.1695555 52.9028973),false,2666124688,52.9028973,413,-1.1695555
POINT (-1.1845971 52.8955944),false,323230392,52.8955944,414,-1.1845971
POINT (-1.1757602 52.8995255),false,323234737,52.8995255,415,-1.1757602
POINT (-1.186811 52.9129069),false,2675918293,52.9129069,416,-1.186811
POINT (-1.1757534 52.9082431),false,323205196,52.9082431,417,-1.1757534
POINT (-1.183667 52.9139348),false,2675918679,52.9139348,418,-1.183667
POINT (-1.1756021 52.9053871),false,6592930173,52.9053871,419,-1.1756021
POINT (-1.197843 52.909014),false,6727637176,52.909014,420,-1.197843
POINT (-1.1806646 52.9028409),false,60024892,52.9028409,421,-1.1806646
POINT (-1.1754911 52.9019568),false,725320096,52.9019568,422,-1.1754911
POINT (-1.1916369 52.8997016),false,324244260,52.8997016,423,-1.1916369
POINT (-1.1882038 52.907229),false,6695807304,52.907229,424,-1.1882038
POINT (-1.1940751 52.9037476),false,447815360,52.9037476,425,-1.1940751
POINT (-1.191543 52.9027842),false,324244277,52.9027842,426,-1.191543
POINT (-1.1697013 52.9002291),false,2768571640,52.9002291,427,-1.1697013
POINT (-1.1777141 52.9052011),false,323224409,52.9052011,428,-1.1777141
POINT (-1.1688071 52.9106652),false,321389200,52.9106652,429,-1.1688071
POINT (-1.1781605 52.9164766),false,322850098,52.9164766,430,-1.1781605
POINT (-1.1765508 52.9041331),false,3310059283,52.9041331,431,-1.1765508
POINT (-1.16976 52.9110505),false,3569891096,52.9110505,432,-1.16976
POINT (-1.1651894 52.9178364),false,323206050,52.9178364,433,-1.1651894
POINT (-1.1735425 52.9068182),false,2651000714,52.9068182,434,-1.1735425
POINT (-1.1757393 52.9097473),false,323205233,52.9097473,435,-1.1757393
POINT (-1.1873104 52.9109237),false,322836289,52.9109237,436,-1.1873104
POINT (-1.1827292 52.8984241),false,324246028,52.8984241,437,-1.1827292
POINT (-1.1669151 52.9030196),false,324245596,52.9030196,438,-1.1669151
POINT (-1.1807222 52.9149918),false,322848878,52.9149918,439,-1.1807222
POINT (-1.1892105 52.8988323),false,447805009,52.8988323,440,-1.1892105
POINT (-1.1847371 52.9082784),false,4253472532,52.9082784,441,-1.1847371
POINT (-1.1917696 52.8966605),false,3714046419,52.8966605,442,-1.1917696
POINT (-1.1758323 52.9025328),false,2309936865,52.9025328,443,-1.1758323
POINT (-1.189472 52.9095677),false,322853493,52.9095677,444,-1.189472
POINT (-1.1737602 52.9016675),false,2307627293,52.9016675,445,-1.1737602
POINT (-1.1884291 52.9081615),false,322850957,52.9081615,446,-1.1884291
POINT (-1.1771183 52.9148636),false,3559573509,52.9148636,447,-1.1771183
POINT (-1.1677895 52.9037338),false,324245653,52.9037338,448,-1.1677895
POINT (-1.1790348 52.9019054),false,2309878276,52.9019054,449,-1.1790348
POINT (-1.1883043 52.8982666),false,2679172834,52.8982666,450,-1.1883043
POINT (-1.1708241 52.9114754),false,2665596010,52.9114754,451,-1.1708241
POINT (-1.1943939 52.8995015),false,1191222212,52.8995015,452,-1.1943939
POINT (-1.1752996 52.9045363),false,2667384984,52.9045363,453,-1.1752996
POINT (-1.1787938 52.9028689),false,2309940828,52.9028689,454,-1.1787938
POINT (-1.1696506 52.9069318),false,323237532,52.9069318,455,-1.1696506
POINT (-1.1702178 52.9125328),false,1647511040,52.9125328,456,-1.1702178
POINT (-1.1862358 52.9055824),false,8753537658,52.9055824,457,-1.1862358
POINT (-1.1906385 52.9074998),false,1190214486,52.9074998,458,-1.1906385
POINT (-1.1787731 52.896779),false,323230494,52.896779,459,-1.1787731
POINT (-1.1821003 52.9020361),false,6561163597,52.9020361,460,-1.1821003
POINT (-1.1894677 52.8998332),false,323228779,52.8998332,461,-1.1894677
POINT (-1.1874623 52.9071025),false,3539246368,52.9071025,462,-1.1874623
POINT (-1.1914455 52.8963447),false,1191222392,52.8963447,463,-1.1914455
POINT (-1.1738337 52.9004966),false,323234353,52.9004966,464,-1.1738337
POINT (-1.1670728 52.9066832),false,448178298,52.9066832,465,-1.1670728
POINT (-1.1966759 52.904506),false,1191086297,52.904506,466,-1.1966759
POINT (-1.1762686 52.8945799),false,323231794,52.8945799,467,-1.1762686
POINT (-1.1708623 52.9120916),false,1647592666,52.9120916,468,-1.1708623
POINT (-1.1653269 52.9159463),false,1638056127,52.9159463,469,-1.1653269
POINT (-1.1873451 52.9051443),false,725320105,52.9051443,470,-1.1873451
POINT (-1.1886341 52.9058292),false,3539246994,52.9058292,471,-1.1886341
POINT (-1.1652051 52.9159461),false,448021807,52.9159461,472,-1.1652051
POINT (-1.1754409 52.9035626),false,2754988790,52.9035626,473,-1.1754409
POINT (-1.1964193 52.9056452),false,1190214813,52.9056452,474,-1.1964193
POINT (-1.1948914 52.8967263),false,3714010514,52.8967263,475,-1.1948914
POINT (-1.1801545 52.9048614),false,323224764,52.9048614,476,-1.1801545
POINT (-1.195382 52.8921255),false,4022546403,52.8921255,477,-1.195382
POINT (-1.1955943 52.9035464),false,322861746,52.9035464,478,-1.1955943
POINT (-1.1760581 52.8961338),false,323231178,52.8961338,479,-1.1760581
POINT (-1.1810752 52.911793),false,3441443112,52.911793,480,-1.1810752
POINT (-1.169234 52.9065617),false,2667386319,52.9065617,481,-1.169234
POINT (-1.1842017 52.9132385),false,2675918510,52.9132385,482,-1.1842017
POINT (-1.181175 52.9031261),false,60024891,52.9031261,483,-1.181175
POINT (-1.1782093 52.9171989),false,447815366,52.9171989,484,-1.1782093
POINT (-1.1905085 52.9104148),false,322851626,52.9104148,485,-1.1905085
POINT (-1.1881676 52.9072566),false,6695807290,52.9072566,486,-1.1881676
POINT (-1.1845388 52.9080685),false,447797949,52.9080685,487,-1.1845388
POINT (-1.1694688 52.902759),false,2666124624,52.902759,488,-1.1694688
POINT (-1.178547 52.90319),false,2309940830,52.90319,489,-1.178547
POINT (-1.1780759 52.9021254),false,3464367580,52.9021254,490,-1.1780759
POINT (-1.1735863 52.9165172),false,2663665346,52.9165172,491,-1.1735863
POINT (-1.1924233 52.9027466),false,324244495,52.9027466,492,-1.1924233
POINT (-1.1893622 52.9071301),false,2631101625,52.9071301,493,-1.1893622
POINT (-1.179148 52.9139139),false,3190173168,52.9139139,494,-1.179148
POINT (-1.1876532 52.9059214),false,6291113996,52.9059214,495,-1.1876532
POINT (-1.1787351 52.90917),false,3559492296,52.90917,496,-1.1787351
POINT (-1.1925986 52.8958169),false,8416171572,52.8958169,497,-1.1925986
POINT (-1.1911696 52.90754),false,1190214924,52.90754,498,-1.1911696
